place_id,city_slug,category_slug,name,description,address,schedule,image,rating,phone,website,maps_url
"la-tour","baia-mare","restaurante","La Tour","Restaurant elegant, bun pentru cină și ocazii speciale.","Strada Victoriei 10, Baia Mare","10:00 - 22:00","/images/place-placeholder.jpg","4.6","0740 123 456","https://latour.ro","https://maps.google.com/?q=La+Tour+Baia+Mare"
"pressco-restaurant","baia-mare","restaurante","Pressco","Meniu variat și servire rapidă, potrivit pentru prânz.","Bulevardul Regele Mihai I 2, Baia Mare","07:30 - 17:00","/images/place-placeholder.jpg","4.4","0751 900 926","https://pressco.ro","https://maps.google.com/?q=Pressco+Baia+Mare"
"millennium","baia-mare","restaurante","Millennium","Restaurant cunoscut local, cu atmosferă relaxată.","Centru Vechi, Baia Mare","10:00 - 22:00","/images/place-placeholder.jpg","4.3","0745 345 678","https://millennium.ro","https://maps.google.com/?q=Millennium+Baia+Mare"
"lulivo","baia-mare","restaurante","L'ulivo","Specific italian, apreciat pentru paste și pizza.","Bulevardul București, Baia Mare","12:00 - 23:00","/images/place-placeholder.jpg","4.6","0742 211 221","https://www.facebook.com/lulivobaiamare","https://maps.google.com/?q=L%27ulivo+Baia+Mare"
"budapesta","baia-mare","restaurante","Restaurant Budapesta","Preparatele tradiționale și porțiile mari îl fac foarte popular.","Strada Vasile Alecsandri, Baia Mare","10:00 - 22:00","/images/place-placeholder.jpg","4.5","0262 214 444","https://www.facebook.com/restaurantbudapestabm","https://maps.google.com/?q=Restaurant+Budapesta+Baia+Mare"
"rox-specialty","baia-mare","cafenele","Rox - Specialty Coffee","Cafea de specialitate și atmosferă modernă, foarte bine evaluată.","Strada Culturii 9, Baia Mare","L-V 07:00 - 18:00, S-D 08:00 - 16:00","/images/place-placeholder.jpg","4.9","0772 057 313","https://europeancoffeetrip.com/cafe/roxspecialtycoffee-baiamare/","https://maps.google.com/?q=Rox+Specialty+Coffee+Baia+Mare"
"code-coffee","baia-mare","cafenele","Code Coffee Shop & Roastery","Spațiu friendly pentru cafea bună, lucru și întâlniri.","Strada Progresului 58-60, Baia Mare","L-V 07:30 - 19:30, S-D 08:30 - 18:00","/images/place-placeholder.jpg","4.8","0752 210 315","https://europeancoffeetrip.com/cafe/codecoffeeshop-baiamare/","https://maps.google.com/?q=Code+Coffee+Shop+Baia+Mare"
"narcoffee","baia-mare","cafenele","Narcoffee Roasters","Loc apreciat pentru cafea bună și atmosferă calmă.","Bd. București 12, Baia Mare","08:00 - 20:00","/images/place-placeholder.jpg","4.5","0740 123 457","https://narcoffee.ro","https://maps.google.com/?q=Narcoffee+Baia+Mare"
"pressco-cafe","baia-mare","cafenele","Pressco Cafe","Cafenea centrală potrivită pentru mic dejun și coffee break.","Bulevardul Regele Mihai I 2, Baia Mare","07:30 - 17:00","/images/place-placeholder.jpg","4.7","0751 900 926","https://pressco.ro","https://maps.google.com/?q=Pressco+Cafe+Baia+Mare"
"log-out","baia-mare","cafenele","Log Out","Cafenea casual, bună pentru socializare.","Centru, Baia Mare","09:00 - 22:00","/images/place-placeholder.jpg","4.6","0741 124 555","https://www.facebook.com/logoutbaiamare","https://maps.google.com/?q=Log+Out+Baia+Mare"
